Archivo,Contenido
TooBrightToSeeTooLoudToHear.mp3,""" Good God, if your song leaves our lips?"""
InRegardsToMySelf.mp3,""" So tear another page from the book?"""
WritingOnTheWalls.mp3,""" Maybe we? Why Don?t We? Sit right here for.. """
Iluminator.mp3,""" Awake to the sound of emptyness """
Rapture.mp3,""" oh, familiar face, that bitter taste?"""
IGaveUp.mp3,""" Every day is Lie? Every day is a mountain?"""
IhateIt.mp3,""" God! Erase Me!!! """
OnMyTeeth.mp3,""" I'm Fine! Without you! I'm not your Fucking prey!"""
BreathingInANewMentality.mp3,"""Oh God? my hands are shaking Again!!!"""
Loneliness.mp3,"""Don't you watch me when I walk away!!!"""
